song_id,artist_name,genre,orientation,mood_happy,mood_sad,mood_relaxed,mood_aggressive,mood_party,danceability,voice_instrumental
RTJ_01,Run the Jewels,hip-hop,narrative,0.62485,0.40786,0.41115,0.60346,0.81131,0.78417,0.69556
RTJ_02,Run the Jewels,hip-hop,narrative,0.59819,0.42701,0.53557,0.56111,0.69761,0.68321,0.65719
RTJ_03,Run the Jewels,hip-hop,narrative,0.54835,0.48195,0.50227,0.60994,0.71352,0.71358,0.60796
RTJ_04,Run the Jewels,hip-hop,narrative,0.41397,0.63143,0.62375,0.60705,0.63168,0.62358,0.70899
RTJ_05,Run the Jewels,hip-hop,narrative,0.46429,0.52232,0.56974,0.42595,0.50657,0.74995,0.5787
RTJ_06,Run the Jewels,hip-hop,narrative,0.70943,0.31158,0.38754,0.58433,0.8238,0.80058,0.61089
RTJ_07,Run the Jewels,hip-hop,narrative,0.48905,0.53566,0.70191,0.54257,0.54403,0.55377,0.68083
RTJ_08,Run the Jewels,hip-hop,narrative,0.62652,0.40193,0.43939,0.52161,0.83901,0.80779,0.69496
RTJ_09,Run the Jewels,hip-hop,narrative,0.55161,0.47683,0.55678,0.59177,0.65393,0.641,0.68507
RTJ_10,Run the Jewels,hip-hop,narrative,0.62872,0.38356,0.54348,0.52258,0.67983,0.6691,0.70237
RTJ_11,Run the Jewels,hip-hop,narrative,0.51145,0.53855,0.42988,0.65027,0.80768,0.77816,0.71307
RTJ_12,Run the Jewels,hip-hop,narrative,0.73051,0.28005,0.42277,0.47246,0.83044,0.79684,0.75478
RTJ_13,Run the Jewels,hip-hop,narrative,0.58686,0.44095,0.53312,0.54126,0.72368,0.7062,0.70917
RTJ_14,Run the Jewels,hip-hop,narrative,0.58681,0.43143,0.50766,0.52181,0.71688,0.71741,0.73157
RTJ_15,Run the Jewels,hip-hop,narrative,0.58488,0.44207,0.51248,0.52003,0.75153,0.72582,0.77802
KL_01,Kendrick Lamar,hip-hop,narrative,0.62688,0.40463,0.42992,0.58025,0.81391,0.78757,0.67782
KL_02,Kendrick Lamar,hip-hop,narrative,0.65653,0.36686,0.46383,0.5382,0.77953,0.75298,0.74013
KL_03,Kendrick Lamar,hip-hop,narrative,0.59232,0.43402,0.52487,0.58323,0.704,0.69344,0.62442
KL_04,Kendrick Lamar,hip-hop,narrative,0.53954,0.46275,0.68703,0.44936,0.54139,0.602,0.58278
KL_05,Kendrick Lamar,hip-hop,narrative,0.79275,0.20492,0.42264,0.50087,0.75503,0.76975,0.66302
KL_06,Kendrick Lamar,hip-hop,narrative,0.72753,0.29968,0.3587,0.64545,0.82058,0.79631,0.63258
KL_07,Kendrick Lamar,hip-hop,narrative,0.73495,0.27921,0.43278,0.51123,0.8026,0.77223,0.75173
KL_08,Kendrick Lamar,hip-hop,narrative,0.62793,0.38868,0.55407,0.52405,0.68775,0.68103,0.65748
KL_09,Kendrick Lamar,hip-hop,narrative,0.53984,0.46566,0.51489,0.4962,0.64124,0.77026,0.55288
KL_10,Kendrick Lamar,hip-hop,narrative,0.62891,0.37385,0.5001,0.47005,0.69455,0.75295,0.63945
KL_11,Kendrick Lamar,hip-hop,narrative,0.53376,0.47888,0.58131,0.50499,0.62912,0.68214,0.62263
KL_12,Kendrick Lamar,hip-hop,narrative,0.61265,0.41107,0.4465,0.63699,0.72561,0.74182,0.54075
KL_13,Kendrick Lamar,hip-hop,narrative,0.579,0.43516,0.60083,0.49198,0.68067,0.68279,0.54191
KL_14,Kendrick Lamar,hip-hop,narrative,0.39853,0.63439,0.65766,0.52964,0.60577,0.64133,0.69154
KL_15,Kendrick Lamar,hip-hop,narrative,0.49416,0.54859,0.45275,0.64205,0.76244,0.77355,0.63397
JC_01,J. Cole,hip-hop,narrative,0.44986,0.57204,0.60524,0.5431,0.60218,0.66421,0.58434
JC_02,J. Cole,hip-hop,narrative,0.3757,0.64523,0.67156,0.53114,0.52673,0.6304,0.54367
JC_03,J. Cole,hip-hop,narrative,0.48251,0.54022,0.60769,0.52758,0.64254,0.67116,0.59722
JC_04,J. Cole,hip-hop,narrative,0.57328,0.45916,0.51346,0.5869,0.72233,0.70491,0.72112
JC_05,J. Cole,hip-hop,narrative,0.46376,0.55075,0.6673,0.51726,0.5194,0.61977,0.57371
JC_06,J. Cole,hip-hop,narrative,0.60745,0.37898,0.55348,0.36404,0.65982,0.76424,0.59273
JC_07,J. Cole,hip-hop,narrative,0.59435,0.41694,0.52805,0.53772,0.65108,0.71362,0.59954
JC_08,J. Cole,hip-hop,narrative,0.67194,0.33213,0.41126,0.45932,0.80303,0.84908,0.62818
JC_09,J. Cole,hip-hop,narrative,0.6697,0.33982,0.40884,0.47903,0.81207,0.84898,0.62229
JC_10,J. Cole,hip-hop,narrative,0.68313,0.33975,0.37075,0.59089,0.83913,0.83643,0.56057
JC_11,J. Cole,hip-hop,narrative,0.41365,0.63222,0.64457,0.59172,0.62691,0.62032,0.7585
JC_12,J. Cole,hip-hop,narrative,0.45507,0.55365,0.61393,0.48275,0.53667,0.68512,0.67309
JC_13,J. Cole,hip-hop,narrative,0.50078,0.51356,0.54702,0.49401,0.66861,0.74843,0.58083
JC_14,J. Cole,hip-hop,narrative,0.60089,0.40316,0.56621,0.4429,0.68106,0.71193,0.63673
JC_15,J. Cole,hip-hop,narrative,0.37933,0.61109,0.69591,0.34004,0.47069,0.69207,0.64352
DR_01,Drake,hip-hop,narrative,0.64041,0.36629,0.4458,0.50218,0.72809,0.78578,0.68852
DR_02,Drake,hip-hop,narrative,0.65995,0.36192,0.47484,0.54403,0.76508,0.74522,0.69525
DR_03,Drake,hip-hop,narrative,0.67942,0.33111,0.49083,0.47869,0.77885,0.76072,0.58713
DR_04,Drake,hip-hop,narrative,0.50373,0.50142,0.64015,0.39121,0.642,0.6934,0.64702
DR_05,Drake,hip-hop,narrative,0.64369,0.39817,0.27449,0.74493,0.85299,0.83803,0.67741
DR_06,Drake,hip-hop,narrative,0.50248,0.52051,0.55396,0.53099,0.66412,0.71887,0.65078
DR_07,Drake,hip-hop,narrative,0.456,0.54032,0.65756,0.35739,0.584,0.68477,0.64072
DR_08,Drake,hip-hop,narrative,0.53967,0.4812,0.60066,0.53053,0.63227,0.66589,0.63941
DR_09,Drake,hip-hop,narrative,0.65172,0.36141,0.35614,0.59533,0.78446,0.84861,0.48141
DR_10,Drake,hip-hop,narrative,0.61386,0.41294,0.47932,0.64652,0.70064,0.69192,0.53551
DR_11,Drake,hip-hop,narrative,0.58263,0.44416,0.54782,0.63569,0.65088,0.65571,0.5312
DR_12,Drake,hip-hop,narrative,0.46719,0.53907,0.65453,0.44704,0.57678,0.66373,0.55317
EM_01,Eminem,hip-hop,narrative,0.55739,0.4721,0.36941,0.60421,0.82387,0.85267,0.61334
EM_02,Eminem,hip-hop,narrative,0.74431,0.27355,0.34837,0.58885,0.83437,0.81266,0.67504
EM_03,Eminem,hip-hop,narrative,0.48584,0.54554,0.54642,0.62055,0.67834,0.70426,0.48235
EM_04,Eminem,hip-hop,narrative,0.60386,0.42333,0.52872,0.58617,0.71778,0.71572,0.55486
EM_05,Eminem,hip-hop,narrative,0.52969,0.5167,0.43062,0.76686,0.72869,0.72466,0.45006
EM_06,Eminem,hip-hop,narrative,0.46768,0.55094,0.57494,0.62216,0.54564,0.64235,0.55334
EM_07,Eminem,hip-hop,narrative,0.65345,0.37541,0.37347,0.63198,0.82605,0.80316,0.59353
EM_08,Eminem,hip-hop,narrative,0.57079,0.43774,0.58458,0.54351,0.5923,0.65285,0.5439
EM_09,Eminem,hip-hop,narrative,0.61691,0.38575,0.56155,0.50731,0.66182,0.70355,0.43095
EM_10,Eminem,hip-hop,narrative,0.65108,0.36462,0.48849,0.63309,0.65007,0.66206,0.58524
EM_11,Eminem,hip-hop,narrative,0.81542,0.18458,0.37025,0.45614,0.88554,0.85551,0.59766
EM_12,Eminem,hip-hop,narrative,0.5317,0.50744,0.43779,0.69053,0.73184,0.74483,0.58006
TC2_01,"Tyler, the Creator",hip-hop,narrative,0.60386,0.40767,0.43628,0.53922,0.70777,0.78357,0.68158
TC2_02,"Tyler, the Creator",hip-hop,narrative,0.67301,0.34271,0.42666,0.49292,0.82136,0.78419,0.81223
TC2_03,"Tyler, the Creator",hip-hop,narrative,0.61354,0.41132,0.39996,0.5624,0.84032,0.82425,0.61058
TC2_04,"Tyler, the Creator",hip-hop,narrative,0.64068,0.38048,0.50446,0.55739,0.71405,0.73136,0.5966
TC2_05,"Tyler, the Creator",hip-hop,narrative,0.6727,0.34184,0.44766,0.55433,0.74846,0.7488,0.65353
TC2_06,"Tyler, the Creator",hip-hop,narrative,0.67637,0.34832,0.4201,0.59443,0.79692,0.77673,0.62749
TC2_07,"Tyler, the Creator",hip-hop,narrative,0.76127,0.25333,0.33705,0.55025,0.87608,0.84147,0.65269
TC2_08,"Tyler, the Creator",hip-hop,narrative,0.61678,0.39458,0.61274,0.49774,0.63032,0.62863,0.67019
TC2_09,"Tyler, the Creator",hip-hop,narrative,0.58452,0.43885,0.50916,0.5854,0.67698,0.68651,0.70406
TC2_10,"Tyler, the Creator",hip-hop,narrative,0.54148,0.47703,0.43637,0.53258,0.73781,0.80457,0.70458
TC2_11,"Tyler, the Creator",hip-hop,narrative,0.51315,0.51888,0.57771,0.59654,0.65344,0.6514,0.62865
TC2_12,"Tyler, the Creator",hip-hop,narrative,0.67959,0.33668,0.41982,0.49552,0.85289,0.82571,0.59903
MM_01,Mac Miller,hip-hop,narrative,0.57363,0.4444,0.51431,0.47244,0.75384,0.76353,0.68986
MM_02,Mac Miller,hip-hop,narrative,0.50628,0.50449,0.68182,0.4589,0.60347,0.60536,0.56201
MM_03,Mac Miller,hip-hop,narrative,0.55273,0.44268,0.55349,0.32678,0.72329,0.75316,0.84418
MM_04,Mac Miller,hip-hop,narrative,0.51219,0.50124,0.5005,0.46186,0.7385,0.77942,0.70295
MM_05,Mac Miller,hip-hop,narrative,0.52682,0.50719,0.46275,0.55131,0.81121,0.78418,0.69713
MM_06,Mac Miller,hip-hop,narrative,0.66467,0.35384,0.4207,0.51047,0.83918,0.80801,0.69372
MM_07,Mac Miller,hip-hop,narrative,0.54752,0.48869,0.51166,0.55972,0.75915,0.73653,0.73036
MM_08,Mac Miller,hip-hop,narrative,0.31158,0.68728,0.8399,0.34592,0.40394,0.55487,0.62621
MM_09,Mac Miller,hip-hop,narrative,0.60508,0.39522,0.52312,0.39148,0.74515,0.74259,0.77806
MM_10,Mac Miller,hip-hop,narrative,0.57177,0.44049,0.46958,0.40358,0.82258,0.81978,0.76533
MM_11,Mac Miller,hip-hop,narrative,0.50093,0.52073,0.61759,0.48929,0.67459,0.6866,0.5768
MM_12,Mac Miller,hip-hop,narrative,0.45507,0.5738,0.65831,0.55412,0.59242,0.5926,0.70993
CH_01,Chance the Rapper,hip-hop,narrative,0.33668,0.68195,0.73001,0.49492,0.49622,0.60008,0.53299
CH_02,Chance the Rapper,hip-hop,narrative,0.70264,0.3123,0.40862,0.59918,0.76624,0.76282,0.59583
CH_03,Chance the Rapper,hip-hop,narrative,0.50579,0.51064,0.46197,0.46631,0.75353,0.82521,0.73333
CH_04,Chance the Rapper,hip-hop,narrative,0.48758,0.5202,0.52881,0.43712,0.6692,0.80083,0.61257
CH_05,Chance the Rapper,hip-hop,narrative,0.47575,0.53833,0.57301,0.43923,0.67413,0.73695,0.71469
CH_06,Chance the Rapper,hip-hop,narrative,0.71906,0.29302,0.36922,0.54171,0.84416,0.81336,0.65317
CH_07,Chance the Rapper,hip-hop,narrative,0.65572,0.3522,0.43152,0.52352,0.72901,0.79135,0.65787
CH_08,Chance the Rapper,hip-hop,narrative,0.46931,0.54542,0.54696,0.50396,0.63766,0.73304,0.64409
CH_09,Chance the Rapper,hip-hop,narrative,0.63525,0.36913,0.53057,0.47881,0.67584,0.72492,0.61293
CH_10,Chance the Rapper,hip-hop,narrative,0.61232,0.40829,0.5086,0.54161,0.72602,0.70953,0.69479
CH_11,Chance the Rapper,hip-hop,narrative,0.68493,0.35856,0.30084,0.78026,0.82602,0.8042,0.59994
CH_12,Chance the Rapper,hip-hop,narrative,0.53867,0.46326,0.62189,0.528,0.50582,0.62168,0.56158
NS_01,Nas,hip-hop,narrative,0.77338,0.23905,0.33258,0.54737,0.88828,0.85728,0.56873
NS_02,Nas,hip-hop,narrative,0.70521,0.3169,0.34316,0.57471,0.89195,0.86371,0.55305
NS_03,Nas,hip-hop,narrative,0.58213,0.39977,0.6589,0.37965,0.52457,0.67694,0.47182
NS_04,Nas,hip-hop,narrative,0.64814,0.36449,0.36993,0.51467,0.84549,0.90016,0.47252
NS_05,Nas,hip-hop,narrative,0.63151,0.38743,0.53346,0.62086,0.63358,0.63162,0.64072
NS_06,Nas,hip-hop,narrative,0.56809,0.44104,0.57514,0.56014,0.56611,0.65863,0.53362
NS_07,Nas,hip-hop,narrative,0.67946,0.32913,0.49756,0.59632,0.67127,0.68016,0.49552
NS_08,Nas,hip-hop,narrative,0.68911,0.31918,0.53882,0.57717,0.64159,0.64658,0.53036
NS_09,Nas,hip-hop,narrative,0.44425,0.56947,0.67609,0.46815,0.55968,0.64274,0.59369
