song_id,artist_name,genre,orientation,line_idx,line_text,line_words,match_start_s,match_end_s,window_start_s,window_end_s,position_pct,total_duration_s,lmc,match_confidence
RTJ_01,Run the Jewels,hip-hop,narrative,0,"Run, run, run, run, run",5,50.413,79.041,45.413,84.041,31.101,208.12,0.233961,0.4
RTJ_01,Run the Jewels,hip-hop,narrative,8,Better hide all the snacks and the dough,8,147.829,149.33,142.829,154.33,71.391,208.12,0.283325,0.25
RTJ_02,Run the Jewels,hip-hop,narrative,1,"I presented the evidence, eloquent as the President",8,57.016,58.978,52.016,63.978,33.808,171.549,0.161249,0.25
RTJ_03,Run the Jewels,hip-hop,narrative,4,Move like Jesus die like a martyr,7,82.183,83.404,77.183,88.404,47.88,172.919,0.160052,0.286
RTJ_03,Run the Jewels,hip-hop,narrative,13,"Bad hoes, we in the DR",6,145.648,146.969,140.648,151.969,84.611,172.919,0.201795,0.333
RTJ_05,Run the Jewels,hip-hop,narrative,0,Really fell out the lane with this shit,8,27.834,29.957,22.834,34.957,13.008,222.144,0.18238,0.375
RTJ_05,Run the Jewels,hip-hop,narrative,1,"Man, print this shit: I'm a misfit",7,31.198,32.659,26.198,37.659,14.373,222.144,0.131243,0.286
RTJ_05,Run the Jewels,hip-hop,narrative,3,Born to the next-gen system,5,36.924,37.825,31.924,42.825,16.824,222.144,0.060803,0.4
RTJ_05,Run the Jewels,hip-hop,narrative,21,"I don't only bite, but I'm rabid",7,156.167,157.348,151.167,162.348,70.566,222.144,0.33622,0.286
RTJ_06,Run the Jewels,hip-hop,narrative,0,"Killer Mike and El-P, fuck boys know the combination ain't healthy",11,0.411,4.596,0.0,9.596,1.391,180.001,0.234441,0.636
RTJ_06,Run the Jewels,hip-hop,narrative,1,Tell me if you smell the marijuana hanging off my breath,11,4.796,7.919,0.0,12.919,3.532,180.001,0.266558,0.545
RTJ_06,Run the Jewels,hip-hop,narrative,2,Blowing smoke and I'm coughing like I'm damn near death,10,8.019,11.322,3.019,16.322,5.372,180.001,0.259143,0.3
RTJ_06,Run the Jewels,hip-hop,narrative,3,"If I died right now, I would be so fresh to death",12,11.542,14.365,6.542,19.365,7.196,180.001,0.351719,0.833
RTJ_06,Run the Jewels,hip-hop,narrative,4,"They would have to say, ""That fat motherfucker coffin fresh",10,14.545,17.588,9.545,22.588,8.926,180.001,0.41485,0.8
RTJ_07,Run the Jewels,hip-hop,narrative,0,"You know I get loose, I'm a screw turned pro status",11,7.881,10.323,2.881,15.323,4.36,208.747,0.275712,0.273
RTJ_07,Run the Jewels,hip-hop,narrative,1,Never did shit but inflict this damage,7,10.403,12.304,5.403,17.304,5.439,208.747,0.252941,1.0
RTJ_07,Run the Jewels,hip-hop,narrative,2,Never met a word that I wouldn't like a weapon just brandish,12,12.404,14.806,7.404,19.806,6.517,208.747,0.353747,1.0
RTJ_07,Run the Jewels,hip-hop,narrative,3,"Walk away, clown boy, vanish",5,14.846,16.327,9.846,21.327,7.467,208.747,0.040258,0.8
RTJ_07,Run the Jewels,hip-hop,narrative,4,"Feelin' outlandish, chemicals soaked in my cabbage",7,16.747,18.809,11.747,23.809,8.517,208.747,0.2186,0.429
RTJ_07,Run the Jewels,hip-hop,narrative,5,"Face numb, face off rap shit, straight no chasing that dragon",11,18.889,21.651,13.889,26.651,9.71,208.747,0.542314,0.727
RTJ_07,Run the Jewels,hip-hop,narrative,9,"Light a flare in the road, I'm an accident",9,96.69,98.631,91.69,103.631,46.784,208.747,0.285293,0.333
RTJ_09,Run the Jewels,hip-hop,narrative,0,Now come over here and let me give you a tongue kiss,12,0.291,4.397,0.0,9.397,1.212,193.399,0.280541,1.0
RTJ_09,Run the Jewels,hip-hop,narrative,1,On your hot pocket,4,5.378,6.399,0.378,11.399,3.045,193.399,0.186694,0.75
RTJ_09,Run the Jewels,hip-hop,narrative,2,Me and Mike'll go Twin Hype and do a dance on your windpipes,13,6.459,9.664,1.459,14.664,4.168,193.399,-0.064689,0.846
RTJ_09,Run the Jewels,hip-hop,narrative,3,Put your fucking jazz hands back in your pants,9,9.684,11.906,4.684,16.906,5.582,193.399,0.008599,1.0
RTJ_09,Run the Jewels,hip-hop,narrative,4,And get them shits sliced,5,11.947,12.968,6.947,17.968,6.441,193.399,0.13254,0.8
RTJ_09,Run the Jewels,hip-hop,narrative,5,"Caught the ghost when I was yay high, so today I stay way high",14,12.988,16.052,7.988,21.052,7.508,193.399,0.149102,0.786
RTJ_09,Run the Jewels,hip-hop,narrative,6,"Do not worry about my habits, without sin, I'd probably hate life",12,16.272,19.376,11.272,24.376,9.216,193.399,0.269166,0.5
RTJ_10,Run the Jewels,hip-hop,narrative,0,That was me in BK on Atlantic,7,36.723,38.505,31.723,43.505,14.367,261.805,0.106736,0.857
RTJ_10,Run the Jewels,hip-hop,narrative,1,"Never looked both ways, ran in traffic",7,38.985,40.847,33.985,45.847,15.246,261.805,0.216551,1.0
RTJ_10,Run the Jewels,hip-hop,narrative,2,"Pops went away but I stayed, vagrant",7,41.267,43.149,36.267,48.149,16.122,261.805,0.330321,0.857
RTJ_10,Run the Jewels,hip-hop,narrative,3,Placed where the steel and cement became nature,8,43.249,45.391,38.249,50.391,16.929,261.805,0.202308,0.5
RTJ_10,Run the Jewels,hip-hop,narrative,4,"Love what you did with the place, it looks gorgeous",10,45.711,47.653,40.711,52.653,17.831,261.805,0.275442,0.8
RTJ_10,Run the Jewels,hip-hop,narrative,5,Cityscape where the blood of good men courses,8,48.294,50.115,43.294,55.115,18.794,261.805,0.149081,0.375
RTJ_10,Run the Jewels,hip-hop,narrative,6,And the dreamers are bull trapped in porcelain,8,50.396,52.557,45.396,57.557,19.662,261.805,0.157753,0.875
RTJ_10,Run the Jewels,hip-hop,narrative,7,Take a knee to the gods and get horse shit,10,52.578,55.12,47.578,60.12,20.568,261.805,0.269553,0.7
