song_id,title,artist_name,artist_code,genre,orientation,popularity,lmc_mulan,lmc_clap,lmc_mert_sbert,seg_n,seg_mean_lmc,seg_sd_lmc,seg_max_lmc,seg_min_lmc,seg_chorus_lmc,seg_verse_lmc,seg_bridge_lmc,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,spotify_id,duration_ms,explicit,release_date,duration_min,lmc_mulan_z,lmc_clap_z,lmc_mert_sbert_z,narrative,genre_country,genre_electronic,genre_folk,genre_folk-rock,genre_hip-hop,genre_pop,genre_psychedelic-electronic
RTJ_01,Run the Jewels,Run the Jewels,RTJ,hip-hop,narrative,52.000000,0.347461,0.209607,-0.114023,4,0.33240510991217154,0.08040963086804868,0.4161903693849592,0.20692509563017014,,0.37423178133950535,,,,,,,,,,,2IX1xr68TvJIZLjJZErtIy,210626.000000,True,2013-06-26,3.510433,0.167875,1.352596,-2.867184,1,False,False,False,False,True,False,False
RTJ_02,Banana Clipper,Run the Jewels,RTJ,hip-hop,narrative,42.000000,0.335946,0.248445,-0.046507,2,0.33085833381105445,0.021402744156444026,0.35226107796749845,0.3094555896546104,,0.33085833381105445,,,,,,,,,,,0toD7nCrqghxCcoX0m99N2,171493.000000,True,2013-06-26,2.858217,0.044226,1.741231,-0.631636,1,False,False,False,False,True,False,False
RTJ_03,36 Inch Chain,Run the Jewels,RTJ,hip-hop,narrative,10.000000,0.382107,0.426227,-0.019562,3,0.3109344873844639,0.12392670587140803,0.47792944346628663,0.18137991298880732,,0.37571177458229216,,,,,,,,,,,3XZHGPlJDgNhhzDnO2SPfz,187722.000000,True,2016-05-26,3.128700,0.539917,3.520206,0.260584,1,False,False,False,False,True,False,False
RTJ_04,DDHF,Run the Jewels,RTJ,hip-hop,narrative,38.000000,0.337209,0.146885,-0.040884,1,0.3370336462702746,0.0,0.3370336462702746,0.3370336462702746,,0.3370336462702746,,,,,,,,,,,4frxEYGzx5hmyy7sr1xjHf,185079.000000,True,2013-06-26,3.084650,0.057792,0.724974,-0.445425,1,False,False,False,False,True,False,False
RTJ_05,Sea Legs,Run the Jewels,RTJ,hip-hop,narrative,38.000000,0.377617,0.175617,-0.090214,3,0.28227564555484236,0.014156477060460602,0.29441691669450387,0.26241911445806315,0.26241911445806315,0.29220391110323196,,,,,,,,,,,4iqcD4agH2UppSg2vH6Vfc,220040.000000,True,2013-06-26,3.667333,0.491700,1.012478,-2.078830,1,False,False,False,False,True,False,False
RTJ_06,Job Well Done,Run the Jewels,RTJ,hip-hop,narrative,32.000000,0.338646,0.136837,-0.044451,3,0.2747284438755991,0.028950077979052056,0.3156372665571999,0.2528556910407302,0.2528556910407302,0.28566482029303353,,,,,,,,,,,1521QPAuVosTFwLITZGTLg,179746.000000,True,2013-06-26,2.995767,0.073220,0.624422,-0.563554,1,False,False,False,False,True,False,False
RTJ_07,No Come Down,Run the Jewels,RTJ,hip-hop,narrative,32.000000,0.492247,0.235483,-0.029966,3,0.420035472097904,0.04729672577901693,0.4573200431755527,0.35330092134116636,0.35330092134116636,0.45340274747627274,,,,,,,,,,,2VnuBoLcVfdFmmd1BptUmZ,208333.000000,True,2013-06-26,3.472217,1.722621,1.611525,-0.083923,1,False,False,False,False,True,False,False
RTJ_08,Get It,Run the Jewels,RTJ,hip-hop,narrative,40.000000,0.416955,0.146924,-0.006813,1,0.4892460626407238,0.0,0.4892460626407238,0.4892460626407238,,0.4892460626407238,,,,,,,,,,,2rOHWE77alc9Txyn4i0QY3,179999.000000,True,2013-06-26,2.999983,0.914116,0.725357,0.682715,1,False,False,False,False,True,False,False
RTJ_09,Twin Hype Back,Run the Jewels,RTJ,hip-hop,narrative,29.000000,0.214881,0.179880,-0.052160,8,0.17250792166429574,0.08789964224094537,0.2720413469871533,0.007516255895905769,,0.15828886090388755,0.2720413469871533,,,,,,,,,,0Aaj225jZ6DDnU9t2Rfa9w,192413.000000,True,2013-06-26,3.206883,-1.255787,1.055137,-0.818791,1,False,False,False,False,True,False,False
RTJ_10,A Christmas Fucking Miracle,Run the Jewels,RTJ,hip-hop,narrative,36.000000,0.394566,0.283586,-0.062443,2,0.4207858403602748,0.0004400938491193329,0.42122593420939414,0.42034574651115547,,0.4207858403602748,,,,,,,,,,,52WIFjN9LrpybBEFKPgb1V,261440.000000,True,2013-06-26,4.357333,0.673699,2.092873,-1.159304,1,False,False,False,False,True,False,False
