file_id,corpus,data_type,label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
RTJ_01,RTJ,audio,RTJ S Run The Jewels,-15.905912,-0.9909953,-1.0609207,0.2045999,11.187507,6.930139,-7.420088,-3.18117,-2.2193863,0.16445073
RTJ_02,RTJ,audio,RTJ S Banana Clipper,-19.666952,12.459633,0.26517844,-1.5450163,-4.5394106,-2.6586437,-2.2143579,2.228992,3.729765,4.133483
RTJ_03,RTJ,audio,RTJ S 36 Inch Chain,-16.70279,-8.614992,7.635208,4.906638,-1.886981,-6.634024,-2.2915168,5.8724375,0.5260384,0.5177261
RTJ_04,RTJ,audio,RTJ S DDHF,-17.835445,7.0539503,-11.345303,1.9565294,-7.2898054,0.17112705,2.3633144,-3.8271296,-0.41512138,-2.272811
RTJ_05,RTJ,audio,RTJ S Sea Legs,-16.507055,0.3575327,-4.7264643,0.766521,2.0824585,-2.7997248,-0.33749565,3.1188042,2.5044,-7.996157
RTJ_06,RTJ,audio,RTJ S Job Well Done,-19.610134,3.696898,6.516642,-4.983861,2.3672218,2.568785,0.25472748,-1.6281133,-0.777689,-0.703626
RTJ_07,RTJ,audio,RTJ S No Come Down,-13.644585,-14.538487,-10.902439,9.684064,0.07750014,-0.017712947,-1.699469,1.5133783,-2.4430442,2.791686
RTJ_08,RTJ,audio,RTJ S Get It,-20.27732,10.278209,1.689043,-2.622541,-4.7471585,0.96798134,-1.3851931,-0.5176321,-3.9705968,0.7817173
RTJ_09,RTJ,audio,RTJ S Twin Hype Back,-16.666986,-3.9434707,12.588087,-1.7492871,5.4022965,-1.8331169,4.0460086,-0.18916756,1.1081259,0.21210796
RTJ_10,RTJ,audio,RTJ S A Christmas Fucking Miracle,-13.493578,-11.501972,-3.1403263,-7.3736906,-1.365334,3.4545717,9.167302,-3.0168948,1.9693928,2.430169
GD_01,GD,audio,GD S Minglewood Blues,15.321502,0.99870265,1.6103512,7.879178,-1.6241707,1.5942056,1.9092818,-3.0028617,3.2945247,0.9259398
GD_02,GD,audio,GD S They Love Each Other,17.77113,-4.8774495,-0.47328502,-2.9585428,-5.45105,3.579712,-6.4367933,0.11901825,5.211357,0.6664196
GD_03,GD,audio,GD S Cassidy,17.31107,5.883397,-2.5329883,1.5031927,6.9833026,0.8314667,-0.21783064,-0.8011335,3.0961235,0.56943876
GD_04,GD,audio,GD S Loser,18.33523,-4.1736636,1.4339507,-5.336459,-4.779227,1.0880234,1.4947859,2.6046236,-5.330436,-1.7885636
GD_05,GD,audio,GD S Jack Straw,17.236864,5.0337815,-4.557445,-0.7006259,4.906146,-2.1643806,2.5082862,3.6576743,0.4770607,0.994188
GD_06,GD,audio,GD S Tennessee Jed,16.379248,-2.4603817,6.63035,0.17346714,-7.069104,8.140058,-2.1319468,2.6745813,-0.49746424,-1.6278646
GD_07,GD,audio,GD S Passenger,16.291744,8.844071,0.27497157,7.6181717,3.790666,3.6372569,5.9524097,5.096648,-2.3721275,0.739762
GD_08,GD,audio,GD S Peggy-O,17.899849,0.48323777,-4.885442,-9.865347,1.5915581,-7.0450964,-3.0988648,0.25878438,-2.9389307,2.5804527
GD_09,GD,audio,GD S Me & My Uncle,15.422286,0.44293427,7.1665273,8.384332,-2.448821,-6.22846,-0.59874916,-8.839117,-2.1946497,-0.6467494
GD_10,GD,audio,GD S Friend of the Devil,18.341816,-4.4309287,-2.1857207,-5.941317,2.8124144,-3.5821543,0.13617265,-2.1417286,1.242656,-2.4717665
