file_id,corpus,data_type,label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
RTJ_01,RTJ,audio,RTJ S Run The Jewels,13.223195,-15.160629,0.54592466,0.1977937,3.5210023,-1.7380764,-4.0962024,-2.828429,1.9570019,-5.960497
RTJ_02,RTJ,audio,RTJ S Banana Clipper,12.466035,-18.2981,-3.5645783,-4.7783966,-4.3119397,-4.4201922,-0.39175197,3.6474915,-4.9365764,0.11739688
RTJ_03,RTJ,audio,RTJ S 36 Inch Chain,16.354166,-15.506407,-0.23237465,1.3717215,-0.49685034,5.9915023,4.457411,-5.540964,0.31723204,1.805108
RTJ_04,RTJ,audio,RTJ S DDHF,10.87251,-16.488739,-1.8626124,-1.3220443,-3.0308323,-2.7955036,0.33824226,8.668449,3.0517557,0.5277788
RTJ_05,RTJ,audio,RTJ S Sea Legs,13.251898,-15.229611,-1.3950193,1.7942137,-1.8688906,-0.8297437,-0.47759947,1.9350573,2.020454,-1.1100255
RTJ_06,RTJ,audio,RTJ S Job Well Done,14.581821,-18.165918,-3.6180265,-0.8159702,0.23723218,-2.1159124,-1.6389092,-2.4629998,-4.470541,0.87312114
RTJ_07,RTJ,audio,RTJ S No Come Down,13.037094,-12.345224,1.1284498,4.9557514,1.9309013,6.4574714,3.755598,1.7816122,11.018418,-3.5376074
RTJ_08,RTJ,audio,RTJ S Get It,12.54887,-19.203274,-2.7961745,-3.3213754,-2.2377193,-4.6993623,0.046862487,2.39439,-3.785394,2.7346187
RTJ_09,RTJ,audio,RTJ S Twin Hype Back,17.631805,-15.766842,-1.981049,0.43117002,3.629902,0.39297345,-0.06733402,-6.99356,-3.82317,1.9915079
RTJ_10,RTJ,audio,RTJ S A Christmas Fucking Miracle,13.025824,-12.218857,-1.4405934,4.672865,4.35306,5.043147,-2.1119437,1.0394788,1.8190442,2.0309138
GD_01,GD,audio,GD S Minglewood Blues,14.622927,14.46131,2.2201047,-0.33548746,2.3433921,-2.424174,2.4887676,-0.23807424,2.7947845,2.451889
GD_02,GD,audio,GD S They Love Each Other,11.085604,17.111038,2.6202912,0.89593256,3.1803184,3.3377697,1.7565839,1.6145388,-1.1117789,0.26688567
GD_03,GD,audio,GD S Cassidy,12.731328,16.388004,1.4038762,0.16568416,-2.36766,-4.9195967,-2.615454,0.21401192,1.1469527,-1.9845289
GD_04,GD,audio,GD S Loser,13.039071,17.402723,2.3674338,2.9225423,1.7959678,2.8652062,0.60860735,1.3360717,-3.6233613,0.8189663
GD_05,GD,audio,GD S Jack Straw,12.6801605,16.144419,1.2715197,1.1267114,-3.9453185,-3.7904093,-2.8491116,1.5599451,1.0059743,-2.15161
GD_06,GD,audio,GD S Tennessee Jed,13.73156,15.803461,2.6242995,-2.1610312,2.813021,2.2880826,2.8159454,-2.3210728,-2.1077085,2.7585318
GD_07,GD,audio,GD S Passenger,14.181814,14.945185,3.0998316,-0.43836457,-3.1441977,-7.460394,-0.5659463,-0.88223827,1.6870123,0.15004086
GD_08,GD,audio,GD S Peggy-O,11.657063,17.02557,-1.0362962,1.35315,-2.4402537,2.3911426,-3.55919,3.9341273,-3.0550687,-3.869303
GD_09,GD,audio,GD S Me & My Uncle,15.243749,14.504292,1.059698,-2.125069,0.43559435,0.47056663,4.545217,-3.5551043,0.42221266,2.2301743
GD_10,GD,audio,GD S Friend of the Devil,12.719816,17.340197,-0.23113064,3.9552512,1.940215,2.0992823,-2.5574446,0.4934147,-0.80034524,-0.9735551
RTJ_01,RTJ,text,RTJ L Run The Jewels,-15.469767,-0.37676942,-1.1140578,-2.5701015,7.911496,-2.0731354,2.3201647,1.1409333,-0.62698805,0.92755324
RTJ_02,RTJ,text,RTJ L Banana Clipper,-15.404503,-3.6764245,6.4014125,1.732921,2.7917664,-1.8363143,1.6872098,0.68363816,-1.2075971,-0.85432196
RTJ_03,RTJ,text,RTJ L 36 Inch Chain,-11.188404,-4.326685,10.276808,-2.1294117,8.826562,1.2696044,-0.37421387,6.645321,-0.61015785,-0.36997053
RTJ_04,RTJ,text,RTJ L DDHF,-15.750782,1.1881739,-2.1435187,3.3649745,2.7638812,1.8881433,-4.3085694,2.4516225,-1.1061219,2.7234406
RTJ_05,RTJ,text,RTJ L Sea Legs,-15.783855,-4.0632615,1.7039992,2.0421402,2.836017,0.5441852,0.5038807,1.2514223,-1.5097506,0.22090827
RTJ_06,RTJ,text,RTJ L Job Well Done,-13.286062,-3.0586917,14.601882,2.9778154,-4.6273994,0.6856613,0.06056741,-1.3830373,-0.2884516,0.31646752
RTJ_07,RTJ,text,RTJ L No Come Down,-13.286062,-3.0586917,14.601882,2.9778154,-4.6273994,0.6856613,0.06056741,-1.3830373,-0.2884516,0.31646752
RTJ_08,RTJ,text,RTJ L Get It,-13.286062,-3.0586917,14.601882,2.9778154,-4.6273994,0.6856613,0.06056741,-1.3830373,-0.2884516,0.31646752
RTJ_09,RTJ,text,RTJ L Twin Hype Back,-13.286062,-3.0586917,14.601882,2.9778154,-4.6273994,0.6856613,0.06056741,-1.3830373,-0.2884516,0.31646752
RTJ_10,RTJ,text,RTJ L A Christmas Fucking Miracle,-14.858536,-1.9437387,2.8342674,2.6109612,-0.46244887,-2.2918239,0.7660682,1.7610425,-1.7592114,-0.62734896
GD_01,GD,text,GD L Minglewood Blues,-12.933436,2.6612916,-12.040348,1.2948778,-5.554737,0.5910738,3.4929295,-0.9672246,-1.6500764,-3.29048
GD_02,GD,text,GD L They Love Each Other,-14.919094,3.9891603,-2.5223348,-5.427337,5.929094,2.7125132,5.2715,3.296679,-2.4735365,-0.0041048857
GD_03,GD,text,GD L Cassidy,-12.424979,1.9551547,-12.828373,-2.2200308,-1.3049821,3.4202094,2.5605495,-2.5636463,-3.9829316,-8.635302
GD_04,GD,text,GD L Loser,-12.5624075,0.8601988,-15.655144,1.094856,2.805384,-1.5921999,1.6611686,-1.3790491,1.4210343,-1.2237374
GD_05,GD,text,GD L Jack Straw,-13.422768,2.8497572,-16.65225,3.487071,-0.22429295,0.76944816,-3.5864515,0.22016641,1.175881,3.655644
GD_06,GD,text,GD L Tennessee Jed,-5.790729,1.626489,3.6503808,-29.676107,-3.655602,7.0450273,-4.669611,-1.4023777,2.8381221,0.32150877
GD_07,GD,text,GD L Passenger,-15.749576,-1.8969092,4.945467,2.4951196,7.318055,-5.3343887,-7.356191,-6.886328,2.1564257,-1.844726
GD_08,GD,text,GD L Peggy-O,-12.100183,-0.11048652,-4.3040185,5.5495615,-11.070898,3.3193302,3.364957,-0.57041645,0.9345378,1.6780088
GD_09,GD,text,GD L Me & My Uncle,-12.835213,5.8357835,-14.980047,4.509272,-3.1377094,4.2102013,-7.1289415,-0.14241011,2.5970924,4.9538164
GD_10,GD,text,GD L Friend of the Devil,-14.347853,4.9204087,-6.163333,-6.6150846,0.4010746,-11.528309,5.6709366,-1.8033758,5.4301796,1.9334422
