file_id,corpus,data_type,label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
RTJ_01,RTJ,text,RTJ L Run The Jewels,1.9968646,1.9060302,12.657664,-1.3158901,-1.9459277,1.6162186,-0.051705405,-7.012026,-0.542552,0.38543376
RTJ_02,RTJ,text,RTJ L Banana Clipper,-8.560124,-4.1148624,5.9250364,-1.0508589,-2.887026,-2.9845042,6.3620853,0.7306132,0.7105884,3.1462104
RTJ_03,RTJ,text,RTJ L 36 Inch Chain,-12.7919855,3.8579843,10.807271,9.102349,-2.3601296,7.2527804,-3.9864602,10.723538,-5.3855515,-1.785573
RTJ_04,RTJ,text,RTJ L DDHF,3.81678,-4.847719,3.7531276,7.702381,4.020299,4.4714403,-0.16202813,2.7676594,10.35415,2.5980248
RTJ_05,RTJ,text,RTJ L Sea Legs,-3.259853,-4.275005,5.203719,2.6542706,-2.4416134,-2.3056202,8.736133,1.9131286,1.143956,3.6907578
RTJ_06,RTJ,text,RTJ L Job Well Done,-18.553026,-3.8760378,-6.0885444,-0.69121635,0.293654,-0.5736749,-0.3693869,-1.3087803,0.7239606,-3.0314474
RTJ_07,RTJ,text,RTJ L No Come Down,-18.553026,-3.876037,-6.088545,-0.6912181,0.29365295,-0.57367426,-0.3693845,-1.3087816,0.72395986,-3.0314481
RTJ_08,RTJ,text,RTJ L Get It,-18.553026,-3.876037,-6.088545,-0.69121766,0.2936526,-0.5736726,-0.3693888,-1.3087803,0.72395915,-3.0314453
RTJ_09,RTJ,text,RTJ L Twin Hype Back,-18.553026,-3.876037,-6.088545,-0.691219,0.29365242,-0.57367724,-0.3693853,-1.3087816,0.72395915,-3.0314465
RTJ_10,RTJ,text,RTJ L A Christmas Fucking Miracle,-3.802281,-4.784635,1.7065927,-3.0730324,-2.5367181,-1.5039668,3.6269124,-0.7026883,-1.002144,1.6034945
GD_01,GD,text,GD L Minglewood Blues,14.640872,-3.0773187,-7.225342,-3.2692294,-6.2610216,-2.5784357,-2.4169326,1.4502622,0.30102286,-3.5052865
GD_02,GD,text,GD L They Love Each Other,5.8383813,6.0988145,8.602911,1.5458149,-8.939037,9.250765,-2.7326288,-8.76098,-0.12007736,-0.74274236
GD_03,GD,text,GD L Cassidy,15.832315,1.6947788,-2.538664,2.9012177,-10.880761,-9.520902,-6.317946,2.8772461,4.6454396,0.8417881
GD_04,GD,text,GD L Loser,18.863552,-2.0898094,3.755942,-1.0634874,-1.2147923,-5.1064024,1.9788741,1.0849237,-5.7297783,-3.926848
GD_05,GD,text,GD L Jack Straw,20.425062,-4.8911285,-1.685698,3.9718406,5.855124,-0.38494956,6.6331697,-0.032541517,-2.613068,-3.0589511
GD_06,GD,text,GD L Tennessee Jed,-3.0541706,40.590466,-7.5887837,3.4423234,3.2274563,-2.717238,2.2771711,-0.46715128,-0.28754845,1.6522142
GD_07,GD,text,GD L Passenger,-6.496799,-4.1844296,11.043778,-0.93223846,11.788745,-9.528143,-7.9729147,-2.4018898,-2.7643003,4.314973
GD_08,GD,text,GD L Peggy-O,3.6720147,-7.676826,-16.825796,-3.3582,-3.0662653,6.061701,-2.0215979,0.4249093,-5.2344856,9.4192095
GD_09,GD,text,GD L Me & My Uncle,18.947317,-5.055022,-7.680325,8.608681,11.188284,4.9686904,-1.8204831,-2.0573173,0.6881894,-1.4481591
GD_10,GD,text,GD L Friend of the Devil,8.144164,6.3528333,4.442737,-23.101067,5.2787504,5.3032603,-0.6541089,4.6974382,2.9403214,-1.0587573
