,RTJ_01 (Lyrics),RTJ_02 (Lyrics),RTJ_03 (Lyrics),RTJ_04 (Lyrics),RTJ_05 (Lyrics),RTJ_06 (Lyrics),RTJ_07 (Lyrics),RTJ_08 (Lyrics),RTJ_09 (Lyrics),RTJ_10 (Lyrics),GD_01 (Lyrics),GD_02 (Lyrics),GD_03 (Lyrics),GD_04 (Lyrics),GD_05 (Lyrics),GD_06 (Lyrics),GD_07 (Lyrics),GD_08 (Lyrics),GD_09 (Lyrics),GD_10 (Lyrics)
RTJ_01 (Audio),0.26313707,0.33358726,0.30295518,0.24305747,0.33112472,0.336434,0.336434,0.336434,0.336434,0.3176238,0.23039065,0.19481781,0.23939873,0.23844826,0.18748446,0.21000452,0.2495419,0.30152133,0.14725237,0.1402328
RTJ_02 (Audio),0.29030374,0.35649136,0.31509063,0.2595656,0.36501497,0.35430565,0.35430565,0.35430565,0.35430565,0.3631924,0.30282524,0.2230944,0.29341516,0.29308516,0.23640457,0.29187572,0.21371132,0.36045992,0.16396245,0.19692916
RTJ_03 (Audio),0.21012995,0.2935566,0.25151512,0.20024265,0.2995624,0.32728848,0.32728848,0.32728848,0.32728848,0.2822981,0.22886574,0.1590841,0.2280495,0.22127312,0.16685487,0.20124109,0.15564258,0.32939607,0.13118649,0.08077287
RTJ_04 (Audio),0.29111582,0.35967812,0.32312796,0.27277425,0.36215284,0.35833618,0.35833618,0.35833618,0.35833618,0.35490775,0.2852906,0.22350304,0.2684648,0.28588217,0.24016775,0.23625183,0.2220772,0.36531943,0.18493526,0.20302574
RTJ_05 (Audio),0.24279073,0.31981695,0.2747221,0.24036378,0.32346398,0.3313574,0.3313574,0.3313574,0.3313574,0.3196432,0.26372582,0.18641077,0.24773951,0.25647518,0.21477884,0.18086053,0.19941726,0.34295854,0.17771634,0.146747
RTJ_06 (Audio),0.20960543,0.27766448,0.22817385,0.18598932,0.2887207,0.27011788,0.27011788,0.27011788,0.27011788,0.2747264,0.2089976,0.14289021,0.2178014,0.21614063,0.17704599,0.16832484,0.1654501,0.2855768,0.11091343,0.1002229
RTJ_07 (Audio),0.2778085,0.34874335,0.3236986,0.26996657,0.3534452,0.37866053,0.37866053,0.37866053,0.37866053,0.3473743,0.2830601,0.2357014,0.27143466,0.2762874,0.2309902,0.18707027,0.23120214,0.38808253,0.2101461,0.14795318
RTJ_08 (Audio),0.2630636,0.32137734,0.27790847,0.21121125,0.32509437,0.31917605,0.31917605,0.31917605,0.31917605,0.32269672,0.24128938,0.18461369,0.22960466,0.2508142,0.19415827,0.23026358,0.18960851,0.31594414,0.12096165,0.17226765
RTJ_09 (Audio),0.15212478,0.21209815,0.19347525,0.12654354,0.22164737,0.22188748,0.22188748,0.22188748,0.22188748,0.20690489,0.1459839,0.09243209,0.15273935,0.16084293,0.11024162,0.12685822,0.11919101,0.2259411,0.057680853,0.035074405
RTJ_10 (Audio),0.23098265,0.28686368,0.26943275,0.24347432,0.30781984,0.2953482,0.2953482,0.2953482,0.2953482,0.29490858,0.23377924,0.18479076,0.22791812,0.24036212,0.2167802,0.14090896,0.2031856,0.327769,0.18400945,0.108363934
